Array,SimSub,AIC_TD,AIC_TDRS,RealAlphaPos,RealAlphaNeg,RealBeta,RecAlphaPos,RecAlphaNeg,RecBeta
2,691,69.17387312,50.42263946,0.716216286,0.28329533,19.28322344,0.740040932,0.310784036,13.85303176
2,692,59.06711582,37.02260984,0.340188505,0.209040861,26.36998369,0.348328508,0.177204696,20.78681933
2,693,146.3309162,147.705283,0.996769564,0.006725594,1.505179823,0.57459988,0.419872665,1.918271295
2,694,50.97500049,43.22126968,0.741332571,0.327036569,17.38063136,0.603373427,0.358580798,17.32212524
2,695,94.02767504,44.47155402,0.164247024,0.422828232,25.67905686,0.185488641,0.448247947,20.75631084
2,696,124.9490762,178.5458881,0.287844707,0.690089646,7.695393873,0.220109869,0.479873525,29.99998715
2,697,147.0261742,99.1029275,0.026128148,0.794973921,5.796284567,0.061746021,0.721911401,6.739798333
2,698,93.61683166,50.21122364,0.946363026,0.297512909,13.66033155,0.911328715,0.326462481,15.39105841
2,699,100.6990818,50.54524602,0.329540705,0.045676458,22.68230917,0.601105943,0.088760571,12.48879771
2,700,88.32590578,74.24663885,0.446504726,0.339809675,17.53769478,0.665026454,0.32086266,11.08903161
2,701,132.1649743,131.2528067,0.368861085,0.629174641,2.209786245,0.502935395,0.784494367,3.682641784
2,702,61.90984061,26.52397034,0.17259661,0.809413273,26.41879737,0.287554473,0.794027374,19.60010537
2,703,122.781329,114.4864144,0.26606389,0.031482987,2.778942509,0.392084234,0.099778037,4.554168676
2,704,153.5690279,154.8224492,0.461551768,0.148500406,0.629575717,0.608180627,0.312276022,0.854965544
2,705,62.88188492,62.58105479,0.615737957,0.439012347,15.15452021,0.522800181,0.419118175,13.41277249
2,706,58.73454079,59.71011084,0.616593609,0.543367274,15.96123843,0.650593269,0.568335527,12.41304397
2,707,138.1361021,20.62752584,0.093289171,0.655253234,26.27404363,0.103777608,0.735472073,23.5988825
2,708,41.0321287,43.29889701,0.66199681,0.77609614,15.70860973,0.760700621,0.822919894,13.9445972
2,709,94.3007599,38.62042624,0.587884369,0.074383353,19.71628093,0.65308436,0.128621183,14.69360475
2,710,143.0602614,144.1275815,0.02692488,0.051911897,8.562591043,0.330103538,0.489698517,2.839080498
2,711,75.84031694,32.15599207,0.917190409,0.32867842,21.55758742,0.790669769,0.290811782,18.42589656
2,712,76.6560307,31.39138436,0.639899936,0.18952225,29.6544413,0.407696223,0.169613078,29.9999722
2,713,17.61010727,16.58603789,0.782999963,0.583714796,17.80431204,0.771529331,0.590275141,23.2044438
2,714,83.01068206,33.14901648,0.647239174,0.124965024,25.35227452,0.595164498,0.150743442,19.23680648
2,715,78.95173319,53.33178329,0.310394395,0.132756125,16.08533299,0.29150465,0.124342632,16.0676243
2,716,72.69817458,40.62093626,0.356371014,0.851801587,22.03836589,0.389418769,0.908447912,29.99997366
2,717,89.2040855,88.23374915,0.435229542,0.564397995,14.44908413,0.4608,0.579863549,9.385354324
2,718,101.3537439,186.383629,0.547838653,0.858980991,6.148072372,0.442839243,0.722221232,29.99999995
2,719,35.84229069,35.51831919,0.656810698,0.487292042,26.22559097,0.601166577,0.46481486,18.26982747
2,720,76.85993529,77.80324617,0.803511119,0.550440709,9.794291747,0.620763878,0.525585668,9.766603646
2,721,61.63249258,62.5685496,0.227490964,0.249641091,17.34948385,0.224324948,0.246642088,16.25905026
2,722,60.89323933,62.86331709,0.467510571,0.385309372,20.61864565,0.398684622,0.349485945,15.35648898
2,723,153.4361099,47.58052932,0.002749368,0.338851462,18.30468664,0.01596875,0.398385294,15.57958517
2,724,141.1633537,69.72163686,0.039076449,0.225736637,15.43808824,0.032459091,0.211938228,14.77034091
2,725,29.72919807,32.69121094,0.85080432,0.929957264,18.29735084,0.883709912,0.913057409,16.41888755
2,726,32.90171611,34.25470578,0.994526232,0.77374351,21.17296809,0.914482769,0.86312915,15.32500387
2,727,39.38847833,40.92433752,0.745194199,0.790435687,17.68010277,0.662145272,0.745246294,14.63960172
2,728,154.4726172,153.4655949,0.037512513,0.117779703,1.170347132,0.131234242,0.598637242,1.430966034
2,729,139.7688382,122.1889471,0.122373801,0.597022671,6.516553998,0.129370001,0.448039245,5.885162206
2,730,26.06134768,28.09529488,0.594859976,0.731426253,24.60287921,0.715507118,0.78221362,17.63239082
2,731,117.9274319,84.39628545,0.356500715,0.73816304,13.70148427,0.263018906,0.691258367,10.41195779
2,732,121.3291185,101.7029004,0.196091136,0.464953799,10.63127383,0.226610655,0.572030819,7.821345818
