SubjectNumber,Age,AlphaPos,AlphaNeg,Beta,AsymmIdx,MeanRiskAll_sim,MeanRiskBlockEqEV1_sim,MeanRiskBlockEqEV2_sim,MeanRiskBlockEqEV3_sim,MeanRiskOverallEqEV_sim,MeanRiskBlockUnEqEV1_sim,MeanRiskBlockUnEqEV2_sim,MeanRiskBlockUnEqEV3_sim,MeanRiskOverallUnEqEV_sim,MeanTestBlock1_sim,MeanTestBlock2_sim,MeanTestBlock3_sim,MeanTestBlocks2and3_sim,UsableData_sim,MeanRiskEq040_sim,MeanRiskEq080_sim
52,24,0.340412637697704,0.159788813667285,6.55478160614358,0.361102159015171,0.741363636363636,0.585714285714286,0.678571428571429,0.716428571428572,0.660238095238096,0.75625,0.935,0.95875,0.883333333333333,0.726428571428571,0.845,0.860714285714286,0.852857142857143,1,0.600416666666667,0.74
53,15,0.269007074756737,0.218024690528118,4.12900729525831,0.104679792700585,0.590303030303031,0.507142857142857,0.531428571428572,0.471428571428571,0.503333333333333,0.7275,0.71875,0.78125,0.7425,0.635714285714286,0.785714285714286,0.782142857142857,0.783928571428571,0.98,0.497083333333333,0.511666666666666
54,22,0.234662521738762,0.284289855410489,5.86138975678709,-0.0956298416905697,0.538333333333334,0.512857142857143,0.433571428571429,0.430714285714286,0.459047619047619,0.635,0.67375,0.7225,0.677083333333334,0.699285714285714,0.840714285714286,0.835714285714286,0.838214285714286,1,0.4775,0.434444444444444
55,12,0.370651888229112,0.422729942399613,2.5621036494658598,-0.0656405934192242,0.531969696969697,0.494285714285714,0.518571428571428,0.455,0.489285714285714,0.57875,0.5975,0.64375,0.606666666666667,0.61,0.667142857142857,0.677142857142857,0.672142857142857,0.82,0.500416666666667,0.474444444444444
56,22,0.0476136915798593,0.834807164226329,8.33556505142679,-0.892083938708908,0.12969696969697,0.158571428571428,0.075,0.075,0.102857142857143,0.22125,0.16,0.14875,0.176666666666667,0.749285714285714,0.79,0.761428571428572,0.775714285714286,1,0.167083333333333,0.0172222222222222
57,25,0.0968034415045008,0.116680748326682,6.26404603281155,-0.0931090346217172,0.570757575757576,0.502857142857143,0.469285714285714,0.431428571428571,0.467857142857143,0.72375,0.77875,0.75,0.750833333333333,0.684285714285714,0.810714285714286,0.808571428571428,0.809642857142857,0.99,0.493333333333333,0.433888888888889
58,14,0.0575233597650878,0.136044257372136,6.99598919862266,-0.405651000763125,0.436515151515151,0.415714285714286,0.367857142857143,0.285,0.356190476190476,0.5325,0.6225,0.57625,0.577083333333333,0.635714285714286,0.787857142857143,0.825000000000001,0.806428571428571,1,0.425833333333333,0.263333333333333
59,13,0.0330546090971993,0.521931888796168,5.44539651165235,-0.880881393609868,0.218636363636364,0.215,0.179285714285714,0.157142857142857,0.183809523809524,0.2925,0.28,0.26625,0.279583333333333,0.699285714285714,0.729285714285714,0.727142857142857,0.728214285714286,0.95,0.2425,0.105555555555555
60,19,0.0764234344975581,0.469901478498124,3.26007927087928,-0.720227166363316,0.354242424242424,0.336428571428571,0.300714285714286,0.291428571428571,0.30952380952381,0.475,0.40875,0.41375,0.4325,0.627857142857143,0.679285714285714,0.667857142857143,0.673571428571429,0.84,0.363333333333333,0.237777777777778
61,26,0.181870093219615,0.218974206844412,2.5993200468327,-0.092564902678849,0.517575757575757,0.454285714285714,0.475714285714286,0.467857142857143,0.465952380952381,0.55875,0.6525,0.6125,0.607916666666667,0.606428571428572,0.67,0.7,0.685,0.87,0.461666666666667,0.471666666666667
62,18,0.130797213696336,0.871463649722869,6.26402588832188,-0.738995667754357,0.218333333333333,0.187857142857143,0.16,0.158571428571428,0.168809523809524,0.37625,0.27875,0.26,0.305,0.755714285714286,0.754285714285714,0.765,0.759642857142857,1,0.237916666666667,0.0766666666666666
