Array,SimSub,AIC_TD,AIC_TDRS,RealAlpha,RealBeta,RecAlpha,RecBeta
13,6258,36.88748314,38.98083329,0.304846217,29.5613659,0.381196439,21.14822127
13,6259,72.76730125,74.74342162,0.334637461,11.60800137,0.340787322,12.21764746
13,6260,14.00312011,15.94641185,0.861627699,29.29231121,0.838873943,21.285629
13,6261,87.73229462,88.03582377,0.336104855,10.9433955,0.197525923,11.40802105
13,6262,58.69005117,58.69102784,0.320696553,20.31692184,0.26193135,17.00608351
13,6263,143.9398738,144.9159637,0.39961884,2.136652619,0.546308253,2.392423215
13,6264,147.2055684,144.1989862,0.266203646,3.385994517,0.516483244,1.811717367
13,6265,64.55877588,66.43209628,0.108110838,29.25822291,0.148736433,19.75701024
13,6266,154.1650834,156.1725578,0.667850316,0.337879611,0.528210636,0.683263033
13,6267,87.61220839,89.43950682,0.840969317,8.675620016,0.858859869,7.045602323
13,6268,154.7004866,156.4573695,0.01890837,1.791742348,0.513157253,0.51277146
13,6269,144.7386846,145.2937376,0.224901205,1.545901417,0.227085471,2.732565887
13,6270,69.8202931,70.02428201,0.259822078,15.83737317,0.229203586,14.47324871
13,6271,39.25583159,40.75263812,0.516304464,21.42818317,0.482671525,17.53891357
13,6272,66.86013756,69.12990508,0.153422886,26.51413069,0.200319078,15.61356936
13,6273,89.96834388,91.75134054,0.080593636,19.64241042,0.175182839,11.34759542
13,6274,69.70847874,71.76698461,0.195593613,16.5310373,0.229891699,13.97865178
13,6275,80.10608684,82.09778957,0.420142039,13.85206219,0.363100712,11.28964829
13,6276,102.4586095,104.2309013,0.626812396,7.308785516,0.636419981,6.780173969
13,6277,39.42234011,40.81335411,0.954599345,18.68145394,0.874549044,14.99329411
13,6278,106.9214863,108.2954047,0.745372785,4.953524507,0.81921214,4.713950429
13,6279,113.2848628,114.1722755,0.417576115,6.609581072,0.448103283,5.6313868
13,6280,140.2082961,141.6496376,0.900673059,2.221491542,0.661016428,2.657552705
13,6281,66.83276681,69.16894101,0.157557844,24.40674481,0.176238535,16.41010024
13,6282,45.4898205,47.85880194,0.979779447,8.854071769,0.934879125,12.38454495
13,6283,48.02032687,49.9201823,0.589821193,18.69676101,0.591072045,14.48466644
13,6284,139.6586798,141.7785606,0.103148396,6.598623781,0.363154916,3.091323918
13,6285,30.16930044,32.80585111,0.878949784,25.00710859,0.899577231,17.05583176
13,6286,75.68917593,77.81484086,0.075518826,29.48006795,0.227570773,14.09107544
13,6287,30.95969998,31.67163065,0.628950935,23.63173333,0.677609394,18.06843159
13,6288,60.73215075,62.01503167,0.426415291,20.15411701,0.476576579,14.15192286
13,6289,147.4617754,149.5648316,0.77466896,2.081207692,0.722698351,1.685459402
13,6290,86.2210364,86.6319606,0.584112748,9.80831692,0.455893614,9.304322189
13,6291,110.9568841,112.9645639,0.452064939,5.411845276,0.601565591,5.113056347
13,6292,89.6812852,90.0323372,0.57657817,7.839627252,0.407270598,8.898568145
13,6293,61.70444197,61.37426264,0.202097874,22.16678919,0.277745961,15.84811245
13,6294,60.40382609,62.468457,0.929247819,7.902098195,0.910097405,9.500674253
13,6295,45.3079787,47.29165623,0.395325381,22.74714333,0.40582032,18.27505841
13,6296,61.06262832,57.17749751,0.133464027,25.8007973,0.178298654,19.84010976
13,6297,153.7863808,155.3499955,0.240805576,2.238456299,0.291359748,0.851861026
13,6298,143.5203072,140.9062449,0.517476928,2.847881091,0.006295858,29.99992451
13,6299,86.61811277,86.15857605,0.522672791,11.70166938,0.472107461,8.839070247
13,6300,110.3478515,111.1600352,0.034336891,22.48493718,0.06494925,11.14494734
13,6301,19.84060634,24.86737287,0.843132358,23.99194853,0.862389248,29.99999071
13,6302,124.5626417,121.9474354,0.295692435,4.139006005,0.346073537,4.850349864
13,6303,79.15137269,81.84073909,0.115727141,18.19111854,0.123045445,15.8224138
13,6304,142.0726746,144.8339458,0.007063923,29.68953449,0.112754681,3.702976039
13,6305,75.42699681,77.11732489,0.244775586,15.31243025,0.263181229,12.77877298
13,6306,26.2099512,28.15757129,0.725294916,23.36622362,0.653191509,20.37081148
13,6307,132.0928495,134.2943891,0.038756999,7.348770206,0.202707754,4.3550197
13,6308,95.69783651,97.65519474,0.817872197,8.69474164,0.747565841,6.371703598
13,6309,39.48524364,37.94213479,0.457206163,16.31967457,0.581651022,15.98609794
13,6310,155.2706788,157.2589805,0.162829492,0.546970293,0.425060541,0.307850741
13,6311,124.4848326,123.9349404,0.415348056,3.700390619,0.576956243,4.079799271
13,6312,77.19871215,79.35270803,0.193645411,15.54824504,0.28320811,12.50900872
13,6313,120.5990219,122.3725496,0.892215938,5.926500671,0.805126754,3.964738752
13,6314,47.30936123,49.14148124,0.411709368,29.72745641,0.415700647,17.91710478
13,6315,101.074412,94.59043014,0.738682811,4.206613113,0.537939866,6.200272842
13,6316,38.39917262,38.4442149,0.697727185,13.57413929,0.61128334,15.6668379
13,6317,65.6993909,68.71628889,0.907116003,9.706537692,0.942373604,8.777464999
13,6318,28.64524549,30.12508015,0.874148217,15.69505863,0.824388089,16.89447418
13,6319,48.56404944,50.28194789,0.25069149,27.7098715,0.294499848,23.84128885
13,6320,44.95021753,44.39945036,0.525166922,20.69684454,0.45237313,18.75384114
13,6321,52.55918946,54.53406921,0.142214686,19.40623548,0.177450668,23.62237952
13,6322,57.72073594,59.81833586,0.692421838,13.32321515,0.765205866,11.6883866
13,6323,84.86180264,87.21129764,0.139092857,15.50283227,0.150894515,13.08489619
13,6324,38.01890059,37.67538383,0.904374717,21.90901092,0.820946458,29.99999999
13,6325,76.64986432,78.99199835,0.912051056,9.820830406,0.832913471,7.916553364
13,6326,85.59300658,86.46713021,0.200101236,14.32444119,0.242570858,11.23546362
13,6327,97.80813053,100.136007,0.15384361,11.30792601,0.157921367,10.95900623
13,6328,151.7865182,152.7908732,0.592887004,1.345798194,0.625145925,1.10763249
13,6329,24.34317384,25.88295056,0.803120263,19.74246295,0.769692656,18.40246553
13,6330,47.42088985,48.73579761,0.221795555,29.18750937,0.290994124,19.68827505
13,6331,35.46128953,37.42353196,0.41141311,24.93347769,0.497540432,22.26607327
13,6332,58.39210166,60.32565334,0.584792001,9.491034895,0.643162289,12.88581508
13,6333,101.7142342,103.7085005,0.535467328,6.909011737,0.558905173,6.966758054
13,6334,27.09277411,29.08958324,0.691439367,29.20988488,0.669498709,22.8073241
13,6335,84.97773592,87.83434016,0.111592749,14.39668608,0.13450337,13.46816826
13,6336,81.77036866,155.1599775,0.910959779,7.157231816,0.751128731,7.281571981
13,6337,153.4491633,153.7676975,0.003834865,5.670554531,0.666233345,0.746248951
13,6338,87.03711732,86.09616688,0.379094793,9.971876394,0.414920498,8.971837487
13,6339,68.12785109,70.0529784,0.804506657,6.835799214,0.770656144,8.850296625
13,6340,146.3624647,144.1796207,0.310015865,1.710083949,0.441566677,2.032743526
13,6341,80.70811744,83.01689421,0.188684461,12.52736586,0.21184823,11.84662754
13,6342,63.21487087,64.82778203,0.582410848,10.51295152,0.475740719,12.37059238
13,6343,112.8326861,114.3072836,0.314335161,9.178605766,0.242024603,7.305892493
13,6344,130.4815344,130.6598414,0.415413913,4.719933185,0.614445972,3.489520281
13,6345,29.99540551,33.56724267,0.975305683,25.99911266,0.968310972,15.55352025
13,6346,36.23104277,38.2655194,0.413678973,26.91588269,0.405304348,20.60359424
13,6347,89.76851307,81.93973051,0.156123922,11.99604257,0.121877429,12.99426558
13,6348,25.38988427,27.14044813,0.574063483,20.84686767,0.555060001,23.31676778
13,6349,122.2420361,124.9822181,0.047837764,16.62442571,0.108486564,7.155079021
13,6350,15.18181005,16.59602532,0.832469076,29.7993048,0.850265715,21.43813449
13,6351,35.14600071,37.16278739,0.629093814,24.87197037,0.638748992,19.93253715
13,6352,105.358817,107.4256978,0.462811935,7.778202741,0.33744151,7.013223202
13,6353,56.75053037,58.83122737,0.33454262,21.98109078,0.311424295,19.61315718
13,6354,32.38796032,34.35060949,0.645072228,25.95852999,0.669173335,19.76634667
13,6355,65.88983001,68.34144533,0.214759289,15.57954527,0.193782492,16.82885874
13,6356,114.2714374,116.9367744,0.114993539,6.966531735,0.089916712,9.251706208
