Array,SimSub,AIC_TD,AIC_TDRS,AIC_Util,AIC_FourLR,RealAlpha,RealBeta,RealRho,RecAlpha,RecBeta,RecRho
20,9633,141.919292349245,132.773976032617,125.711726688371,133.169322369384,0.197659601791088,4.17288084133248,0.371662886396159,0.249432570259966,3.93920549796698,0.378876075176583
20,9634,98.6715959340616,92.0909840320779,90.0343767504778,90.4791905439208,0.356671334129713,8.37648023855432,1.74136415951317,0.277112474877758,10.1907157893002,1.48459852880069
20,9635,71.6452760569429,73.7399798451396,73.6272859685904,69.0693954147401,0.382281980954957,9.1119404243422,1.03595509493728,0.361601587188933,12.2546361400927,0.9917100456283
20,9636,96.2368921052973,86.9201315618513,85.566043280179,91.1357547978459,0.450305097808059,10.9212846505954,1.33039624950928,0.646977243254914,9.87619682703458,1.73566652298952
20,9637,130.725614310135,123.481157115894,118.444119092108,128.335996899354,0.17501858875773,6.69963143992172,0.682617426297803,0.145208605556955,6.34582478687455,0.502820523222037
20,9638,150.302398839374,150.450661735918,150.270839762282,152.826481108403,0.291416718600457,2.54370915658099,1.89640073945205,0.653611435630783,1.71378178173152,1.76157070090329
20,9639,151.705752240202,153.782127086483,153.427972898643,157.907540269423,0.582255256453866,0.888077484351323,1.01670596865325,0.266607603826446,1.44430656722114,1.22820944719544
20,9640,141.612204649901,141.669297971029,141.663246043791,141.843622287085,0.579219437480044,2.37321908469949,0.485138649727106,0.194744179762927,3.4853513685515,0.731612436238991
20,9641,95.4151957804406,96.9423151612055,96.4851881502444,99.9750374351094,0.229807240764493,11.7306087482096,1.08891944630971,0.362207960205603,8.58830217936752,1.13151011295763
20,9642,100.874456574375,97.4365324425006,99.2439477472453,99.8567443280899,0.440304745233962,7.08259673856653,1.63464494382434,0.356808009287793,7.9856763011937,1.27899838415379
20,9643,124.542162897967,82.8668140130911,84.8768256873831,87.3259286899221,0.259492717438394,8.65746531246523,2.4210566896746,0.158408914182473,10.4430867038531,2.5
20,9644,154.059317859909,114.635254627904,108.398202020573,116.410932116652,0.0788394014467391,5.32173920906544,0.0957106992118285,0.111725810158549,5.10771144046632,0.0876752911303354
20,9645,119.923590631662,74.5462638766363,65.7458024241448,77.2868275308864,0.605933416845315,9.29866876080772,0.341765604087328,0.656298986291807,9.61449364373098,0.253657760054705
20,9646,100.769294320594,98.0637352325895,98.6364704051858,101.267764190511,0.305236150133973,6.19212394426174,1.4287526973016,0.266889387404832,7.90984177082726,1.36709137656158
20,9647,113.230627952373,114.684093717002,115.148636810126,117.297746176212,0.520468196089863,5.98775672778314,1.05914168888395,0.65287126888746,4.77855110821059,1.03952070226367
20,9648,144.956246526218,143.89496213553,144.861835985302,146.476077424149,0.539407713909877,1.06657861284211,0.736284037769482,0.518191767072948,1.86627846889248,0.568526813234796
20,9649,74.0693006725692,76.2927349520474,75.6571363648399,78.4690373952062,0.587734939011591,6.15692060731299,0.780476407217083,0.731497219392232,7.3684612509482,0.835988030624798
20,9650,137.334516868576,88.0222494711232,79.9826952588534,87.039171733468,0.10219564795946,6.66106229158351,0.16045675417577,0.300177607032139,7.60088947911654,0.284044249542343
20,9651,133.642408283958,132.68521958878,128.931943756247,135.724764064947,0.567214769654819,4.31164405461496,1.34182137231756,0.550480491502257,4.07694536381172,1.94942074796806
20,9652,137.171510395539,139.481281154544,139.132137056598,142.364474739936,0.157557409434143,4.00309104518097,0.911637290462313,0.235602070310566,3.70075882603125,0.963832081500859
20,9653,95.2294432470011,96.1764781106859,93.8624994199683,100.175480879924,0.327088389407009,10.7729387938107,1.17042965730889,0.475280465193246,8.85341229944129,1.28287548949071
20,9654,99.3633824494312,101.132519269019,101.032038544321,105.093681102578,0.408426984574116,7.48464949235161,1.02803380202302,0.460194186411423,7.14434131134064,0.914155440238696
20,9655,137.519323881994,136.367204902306,134.436624991552,139.605760444528,0.468595094077347,3.10313789554696,1.69056651145111,0.335421486730695,3.79109006943926,1.71929386191971
20,9656,124.612676393969,99.3463748521318,101.875114751897,103.477436011734,0.19925983540054,8.68794087663326,2.1064595042577,0.161045399022686,7.75615779457589,2.09559510311695
20,9657,153.479180962132,155.433435600125,153.208210555488,159.257790980991,0.128862377911928,2.83224108549563,1.42390229114347,0.655781620323278,1.2353809055173,2.25247074966379
20,9658,117.387491584589,101.498082010996,96.2351708469849,105.991145238192,0.378936167143668,8.11381245234996,2.43310499805769,0.590702601999065,9.95344433111886,2.5
20,9659,144.647119237468,146.44045591049,145.715118758139,149.695557730092,0.461209313847327,2.20724583083523,0.852404204526761,0.576007266437192,2.13013369190227,1.46421611651472
20,9660,141.188676488882,141.859138414947,141.753867076876,146.148088595227,0.0785403970886847,2.93290399699144,1.42608639010701,0.0968346834305738,3.81711833236677,1.374735214952
20,9661,131.127357005507,111.166199558811,99.3935300607028,115.032868536683,0.427960896375335,10.5216655227899,2.13839078534389,0.556118576076281,8.62714618461604,2.5
20,9662,126.947107448587,112.772029109398,109.836793087659,116.187354392728,0.331471549194391,5.590221906495,1.89069626868132,0.476069712596642,6.77318152023123,2.46246182690701
20,9663,107.324776547731,75.9910897538418,74.6889738126005,81.453155249393,0.10311364106292,11.4859987504207,2.40357730925453,0.139773667941961,12.9627400138006,2.15139367419252
20,9664,112.091436453436,111.140342851335,108.022154823598,115.313168608689,0.586538940498382,4.7241442895421,1.0042587469379,0.73582535234211,6.83218723053578,1.5861239759781
20,9665,154.598634842291,153.436750954035,153.741860137462,157.41055317061,0.143791143585408,0.609461771037144,0.222594204740221,0.144543731240599,1.15807948636792,0.300974761700759
20,9666,65.5795498291121,59.7877559755628,53.0513576607391,61.3228339657188,0.588000051395889,8.14673448964421,0.551371210777655,0.58693379734779,11.3971338184233,0.557647088613192
20,9667,151.954656158541,154.254402796945,153.897311718053,157.614840215898,0.165211546362755,2.1823802434524,1.19032911867791,0.286113032499269,1.36952715760084,0.824743215174045
20,9668,112.318956924403,98.1129880388921,88.9310953926378,101.631960253886,0.454910355156546,4.73375535358705,0.482908677713678,0.423890118158504,5.71655882412542,0.377644172422522
20,9669,112.054974458016,94.5752678766819,92.7367610874115,98.7951157556702,0.568829492905329,10.7789168948446,2.2702324620633,0.483322362831834,9.71170458325224,2.10039675086793
20,9670,120.379912435902,106.605235924848,102.387514129311,107.612737162697,0.185555017335257,9.00163430878174,1.81359815163783,0.395655861842455,7.29763847542874,2.12101359086356
20,9671,96.820691557395,92.9202619722384,91.1120989363677,95.5077999195861,0.477018416980599,10.6253537644577,1.34211349256562,0.508018663161073,9.18900624691136,1.54229068749706
