subj,trialExp,trialRoom,rt,signedPE,reward,condition,imageShown,estimate,absPE,risk,signedErr,absErr,learningRate,lrcat,deck,exp,scenetype,alphapos,alphaneg,AsymmIdx,modval,modelrpe,AbsRPE,PositiveRPE
A10LQ8RUWDUI5U,0,0,7027,90,90,lrfirst,static/images/Outdoor_29.jpg,0,90,low,-80,80,0.166666666666667,70,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.5,0.4,0.4,1
A10LQ8RUWDUI5U,1,1,7005,-4,20,lrfirst,static/images/Indoor_64.jpg,24,4,low,4,4,-8,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.5,-0.3,0.3,0
A10LQ8RUWDUI5U,2,2,7005,-41,15,lrfirst,static/images/Indoor_34.jpg,56,41,low,36,36,0.75609756097561,-50,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.353517465340887,-0.203517465340887,0.203517465340887,0
A10LQ8RUWDUI5U,3,3,7351,65,80,lrfirst,static/images/Outdoor_82.jpg,15,65,low,-65,65,1.15384615384615,70,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.718853126525785,0.0811468734742151,0.0811468734742151,1
A10LQ8RUWDUI5U,4,4,9867,-20,70,lrfirst,static/images/Outdoor_83.jpg,90,20,low,10,10,0.6,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.763251243944846,-0.0632512439448456,0.0632512439448456,0
A10LQ8RUWDUI5U,5,5,7054,-15,10,lrfirst,static/images/Indoor_49.jpg,25,15,low,5,5,0,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.254144951439115,-0.154144951439115,0.154144951439115,0
A10LQ8RUWDUI5U,6,6,7914,5,30,lrfirst,static/images/Indoor_26.jpg,25,5,low,5,5,-2,10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.178879807466757,0.121120192533243,0.121120192533243,1
A10LQ8RUWDUI5U,7,7,7524,7,85,lrfirst,static/images/Outdoor_65.jpg,78,7,low,-2,2,1,10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.732367235500236,0.117632764499764,0.117632764499764,1
A10LQ8RUWDUI5U,8,8,7279,10,25,lrfirst,static/images/Indoor_20.jpg,15,10,low,-5,5,0,10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.24514863952002,0.00485136047997997,0.00485136047997997,1
A10LQ8RUWDUI5U,9,9,7012,-10,75,lrfirst,static/images/Outdoor_45.jpg,85,10,low,5,5,-0.4,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.796727981231848,-0.0467279812318477,0.0467279812318477,0
A10LQ8RUWDUI5U,10,10,7005,15,30,lrfirst,static/images/Indoor_14.jpg,15,15,low,-5,5,1,10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.247802978042388,0.0521970219576118,0.0521970219576118,1
A10LQ8RUWDUI5U,11,11,7006,-14,75,lrfirst,static/images/Outdoor_38.jpg,89,14,low,9,9,1,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.773911870797366,-0.0239118707973659,0.0239118707973659,0
A10LQ8RUWDUI5U,12,12,7009,5,80,lrfirst,static/images/Outdoor_70.jpg,75,5,low,-5,5,4,10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.762236299321235,0.0377637006787654,0.0377637006787654,1
A10LQ8RUWDUI5U,13,13,7122,-5,25,lrfirst,static/images/Indoor_61.jpg,30,5,low,10,10,0,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.276361681669284,-0.0263616816692842,0.0263616816692842,0
A10LQ8RUWDUI5U,14,14,9220,-5,90,lrfirst,static/images/Outdoor_40.jpg,95,5,low,15,15,4,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.782898059228064,0.117101940771936,0.117101940771936,1
A10LQ8RUWDUI5U,15,15,7964,-10,20,lrfirst,static/images/Indoor_74.jpg,30,10,low,10,10,0.5,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.263489928506639,-0.0634899285066394,0.0634899285066394,0
A10LQ8RUWDUI5U,16,16,7123,10,85,lrfirst,static/images/Outdoor_42.jpg,75,10,low,-5,5,1,10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.846968373878503,0.00303162612149732,0.00303162612149732,1
A10LQ8RUWDUI5U,17,17,7004,-10,15,lrfirst,static/images/Indoor_21.jpg,25,10,low,5,5,1,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.232489376330045,-0.0824893763300446,0.0824893763300446,0
A10LQ8RUWDUI5U,18,18,8168,-15,70,lrfirst,static/images/Outdoor_68.jpg,85,15,low,5,5,0.666666666666667,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.84862707601637,-0.14862707601637,0.14862707601637,0
A10LQ8RUWDUI5U,19,19,8223,-5,10,lrfirst,static/images/Indoor_23.jpg,15,5,low,-5,5,-1,-10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.192211866572463,-0.0922118665724632,0.0922118665724632,0
A10LQ8RUWDUI5U,20,20,8354,0,75,lrfirst,static/images/Outdoor_66.jpg,75,0,low,-5,5,NaN,NaN,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.776056173303535,-0.0260561733035346,0.0260561733035346,0
A10LQ8RUWDUI5U,21,21,7551,-5,80,lrfirst,static/images/Outdoor_78.jpg,85,5,low,5,5,3,-10,80 cents,exp3,O,0.547132816314462,0.488275115530378,0.056844939056256,0.763333592273472,0.0366664077265284,0.0366664077265284,1
A10LQ8RUWDUI5U,22,22,7004,5,25,lrfirst,static/images/Indoor_3.jpg,20,5,low,0,0,0,10,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.147187106768522,0.102812893231478,0.102812893231478,1
A10LQ8RUWDUI5U,23,23,7006,0,20,lrfirst,static/images/Indoor_69.jpg,20,0,low,0,0,NaN,NaN,20 cents,exp3,I,0.547132816314462,0.488275115530378,0.056844939056256,0.203439414595699,-0.00343941459569863,0.00343941459569863,0
